,head_size_list,num_head_list,ff_dim_list,num_transformer_blocks_list,ape_label,time_list,sequence_length_list,n_list,training_loss_list,validation_loss_list,y_pred_ori_list,y_test_ori_list
0,16,2,2,1,102.73189764600652,5.761818885803223,1,0,"0     0.208830
1     0.212315
2     0.149972
3     0.161106
4     0.116759
        ...   
95    0.037241
96    0.042820
97    0.029740
98    0.033913
99    0.030326
Length: 100, dtype: float64","0     0.278145
1     0.248985
2     0.225371
3     0.201155
4     0.182550
        ...   
95    0.022728
96    0.022665
97    0.022599
98    0.022688
99    0.022852
Length: 100, dtype: float64",[0.00877061 0.00874978 0.00852735 ... 0.00276067 0.00270886 0.00266202],[0.00505358 0.00491371 0.00476866 ... 0.00291869 0.00289867 0.00287858]
1,16,2,2,1,64.78300031161315,4.778433084487915,1,20,"0     0.043745
1     0.036331
2     0.027111
3     0.031347
4     0.030710
        ...   
95    0.029873
96    0.022758
97    0.025600
98    0.027174
99    0.029364
Length: 100, dtype: float64","0     0.021400
1     0.022120
2     0.022120
3     0.023002
4     0.022855
        ...   
95    0.019806
96    0.019922
97    0.019796
98    0.019532
99    0.019635
Length: 100, dtype: float64",[0.01362748 0.0127801  0.01186741 ... 0.00299595 0.00299097 0.00298559],[0.00658591 0.00650561 0.00641544 ... 0.00329266 0.00326757 0.00324147]
2,16,2,2,1,82.24281391159673,5.052568197250366,1,40,"0     0.033041
1     0.029444
2     0.039968
3     0.020618
4     0.033869
        ...   
95    0.025233
96    0.027930
97    0.023606
98    0.032981
99    0.023855
Length: 100, dtype: float64","0     0.019934
1     0.019871
2     0.019944
3     0.019966
4     0.019712
        ...   
95    0.020623
96    0.020212
97    0.019894
98    0.020083
99    0.020327
Length: 100, dtype: float64",[0.0130579  0.01314721 0.01323097 ... 0.00397324 0.003967   0.00396054],[0.00661564 0.00661381 0.00660174 ... 0.00268788 0.0026522  0.00261511]
3,16,2,2,1,58.672849352504336,5.070947885513306,1,60,"0     0.024370
1     0.023089
2     0.022708
3     0.018206
4     0.023067
        ...   
95    0.018329
96    0.019988
97    0.018116
98    0.019444
99    0.024998
Length: 100, dtype: float64","0     0.019405
1     0.020859
2     0.023038
3     0.024380
4     0.025437
        ...   
95    0.037482
96    0.039281
97    0.038567
98    0.038685
99    0.037749
Length: 100, dtype: float64",[0.01606707 0.01622738 0.01638475 ... 0.00565843 0.00564774 0.00563698],[0.0104877  0.01058236 0.0106685  ... 0.00382184 0.00374662 0.003674  ]
4,16,2,2,1,35.25634764159766,4.790959596633911,1,80,"0     0.037181
1     0.040315
2     0.027955
3     0.032814
4     0.027603
        ...   
95    0.015646
96    0.020378
97    0.033744
98    0.030542
99    0.017031
Length: 100, dtype: float64","0     0.153554
1     0.150299
2     0.147796
3     0.146607
4     0.144895
        ...   
95    0.110685
96    0.110414
97    0.110351
98    0.110239
99    0.109984
Length: 100, dtype: float64",[0.47945383 0.47757387 0.47684225 ... 0.43065137 0.43198454 0.4350658 ],[0.24851463 0.24901375 0.24961587 ... 0.32819564 0.32872402 0.32932484]
5,16,2,2,1,47.39958075940359,4.8036065101623535,1,100,"0     0.050580
1     0.047620
2     0.032875
3     0.028110
4     0.028285
        ...   
95    0.019928
96    0.017686
97    0.020188
98    0.016980
99    0.020954
Length: 100, dtype: float64","0     0.010673
1     0.008252
2     0.007149
3     0.006697
4     0.006545
        ...   
95    0.005520
96    0.005527
97    0.005441
98    0.005873
99    0.006212
Length: 100, dtype: float64","[1.97582878e-02 2.06697211e-02 2.12547425e-02 ... 1.14267554e-04
 9.96007293e-05 8.50150318e-05]",[0.00869679 0.00870096 0.00870964 ... 0.00377152 0.00376745 0.00376329]
6,16,2,2,1,30.125087231308022,4.794644832611084,1,120,"0     0.017322
1     0.017533
2     0.021046
3     0.014748
4     0.018657
        ...   
95    0.011608
96    0.010592
97    0.011178
98    0.018883
99    0.014237
Length: 100, dtype: float64","0     0.002648
1     0.002524
2     0.002378
3     0.002487
4     0.002773
        ...   
95    0.001216
96    0.001145
97    0.001156
98    0.001223
99    0.001171
Length: 100, dtype: float64",[0.0067968  0.00690032 0.00700621 ... 0.01049009 0.01047919 0.01046826],[0.00101518 0.00113173 0.00125478 ... 0.01018273 0.01017015 0.01015769]
7,16,2,2,1,30.640057780397935,4.691359281539917,1,140,"0     0.013577
1     0.008451
2     0.013022
3     0.013015
4     0.008355
        ...   
95    0.005984
96    0.006996
97    0.007596
98    0.011509
99    0.010609
Length: 100, dtype: float64","0     0.007423
1     0.007154
2     0.006572
3     0.006590
4     0.006988
        ...   
95    0.008922
96    0.008415
97    0.008232
98    0.008783
99    0.008849
Length: 100, dtype: float64",[0.03314055 0.03326537 0.03337866 ... 0.01576578 0.01574506 0.01572429],[0.02529405 0.02526712 0.02522768 ... 0.02939897 0.02935723 0.02931602]
8,16,2,2,1,41.70164577904512,4.719684839248657,1,160,"0     0.015431
1     0.014404
2     0.016940
3     0.011616
4     0.021007
        ...   
95    0.008833
96    0.009892
97    0.011618
98    0.010681
99    0.009961
Length: 100, dtype: float64","0     0.024062
1     0.025341
2     0.027963
3     0.028624
4     0.030051
        ...   
95    0.042866
96    0.042455
97    0.043279
98    0.042549
99    0.040733
Length: 100, dtype: float64",[0.0316151  0.03230472 0.03297761 ... 0.02353301 0.02344798 0.02336325],[0.02859081 0.02893378 0.02924999 ... 0.05623759 0.05608587 0.05593514]
9,16,2,2,1,35.24153309115585,4.719424486160278,1,180,"0     0.012026
1     0.012005
2     0.010255
3     0.012819
4     0.008003
        ...   
95    0.007186
96    0.007424
97    0.007126
98    0.006782
99    0.008560
Length: 100, dtype: float64","0     0.132846
1     0.132774
2     0.132944
3     0.135090
4     0.133391
        ...   
95    0.133376
96    0.136857
97    0.135549
98    0.132800
99    0.130661
Length: 100, dtype: float64",[0.00884949 0.01030501 0.01172109 ... 0.04414094 0.0439842  0.04382736],[0.00958685 0.01002634 0.0104706  ... 0.10414646 0.10392795 0.10371025]
