,head_size_list,num_head_list,ff_dim_list,num_transformer_blocks_list,ape_label,time_list,sequence_length_list,n_list,training_loss_list,validation_loss_list,y_pred_ori_list,y_test_ori_list
10,16,2,2,1,27.460224959115738,5.385269641876221,1,100,"0     0.013873
1     0.015399
2     0.012986
3     0.014581
4     0.015749
        ...   
95    0.011099
96    0.010022
97    0.009971
98    0.010400
99    0.010335
Length: 100, dtype: float64","0     0.004393
1     0.002683
2     0.001733
3     0.001532
4     0.001155
        ...   
95    0.001293
96    0.001215
97    0.001283
98    0.001280
99    0.001386
Length: 100, dtype: float64",[0.00950732 0.00901273 0.00875847 ... 0.0026376  0.00262817 0.00261893],[0.00869679 0.00870096 0.00870964 ... 0.00377152 0.00376745 0.00376329]
11,16,2,2,1,26.610061779538054,5.435507535934448,1,110,"0     0.010681
1     0.014490
2     0.013838
3     0.009560
4     0.012687
        ...   
95    0.011700
96    0.011628
97    0.011116
98    0.011490
99    0.008453
Length: 100, dtype: float64","0     0.003720
1     0.003675
2     0.003576
3     0.003681
4     0.003853
        ...   
95    0.005093
96    0.005012
97    0.005320
98    0.005131
99    0.005362
Length: 100, dtype: float64",[0.00789913 0.00788066 0.00786288 ... 0.00701674 0.00700623 0.00699621],[0.00610514 0.00607502 0.0060419  ... 0.01012145 0.01011201 0.01010226]
12,16,2,2,1,21.77028964133801,5.319429874420166,1,120,"0     0.010794
1     0.010106
2     0.008257
3     0.009371
4     0.008812
        ...   
95    0.007338
96    0.007933
97    0.007266
98    0.009106
99    0.006130
Length: 100, dtype: float64","0     0.000572
1     0.000669
2     0.000844
3     0.001018
4     0.000849
        ...   
95    0.001718
96    0.001603
97    0.001422
98    0.001452
99    0.001346
Length: 100, dtype: float64",[0.00286431 0.00298553 0.00310889 ... 0.01133134 0.01132394 0.01131652],[0.00101518 0.00113173 0.00125478 ... 0.01018273 0.01017015 0.01015769]
13,16,2,2,1,26.780514626453325,5.29744291305542,1,130,"0     0.010681
1     0.008504
2     0.009295
3     0.009321
4     0.010523
        ...   
95    0.009316
96    0.008086
97    0.008441
98    0.008344
99    0.007969
Length: 100, dtype: float64","0     0.001581
1     0.001712
2     0.001735
3     0.001761
4     0.002028
        ...   
95    0.005428
96    0.005438
97    0.005005
98    0.005050
99    0.004932
Length: 100, dtype: float64",[0.01619091 0.01654127 0.01689029 ... 0.01596931 0.01595735 0.0159454 ],[0.01674237 0.01700091 0.01725799 ... 0.02113151 0.02111056 0.02108968]
14,16,2,2,1,29.96370626737601,5.377448558807373,1,140,"0     0.006058
1     0.005740
2     0.006545
3     0.006017
4     0.005010
        ...   
95    0.005022
96    0.005899
97    0.005646
98    0.005666
99    0.005912
Length: 100, dtype: float64","0     0.010776
1     0.010402
2     0.010538
3     0.010047
4     0.009761
        ...   
95    0.010001
96    0.009939
97    0.009345
98    0.009068
99    0.009311
Length: 100, dtype: float64",[0.02906187 0.02915374 0.02923316 ... 0.01983332 0.01981372 0.01979412],[0.0241731  0.02414492 0.02410362 ... 0.02847087 0.02842716 0.02838402]
15,16,2,2,1,30.990932538830176,5.345285177230835,1,150,"0     0.007262
1     0.005639
2     0.007525
3     0.007583
4     0.005242
        ...   
95    0.007549
96    0.005360
97    0.005384
98    0.006809
99    0.007605
Length: 100, dtype: float64","0     0.017599
1     0.017350
2     0.017924
3     0.017664
4     0.016894
        ...   
95    0.023414
96    0.025386
97    0.024865
98    0.024740
99    0.024369
Length: 100, dtype: float64",[0.01107568 0.01096267 0.01087243 ... 0.02211925 0.02206819 0.0220176 ],[0.0127831  0.01287192 0.01299554 ... 0.03862949 0.0385417  0.03845443]
16,16,2,2,1,31.643803619419085,5.373125314712524,1,160,"0     0.005579
1     0.005823
2     0.004491
3     0.005391
4     0.004893
        ...   
95    0.004327
96    0.003840
97    0.005990
98    0.004869
99    0.005064
Length: 100, dtype: float64","0     0.032808
1     0.033699
2     0.035937
3     0.037022
4     0.037382
        ...   
95    0.047920
96    0.047919
97    0.046533
98    0.045852
99    0.044875
Length: 100, dtype: float64",[0.03076952 0.03149316 0.03219364 ... 0.02571228 0.02563611 0.02556259],[0.02885023 0.02919654 0.02951585 ... 0.05676678 0.05661358 0.05646138]
17,16,2,2,1,36.78098055987023,5.294376373291016,1,170,"0     0.004385
1     0.004690
2     0.004094
3     0.005071
4     0.005070
        ...   
95    0.005423
96    0.004305
97    0.003997
98    0.005868
99    0.003515
Length: 100, dtype: float64","0     0.054708
1     0.055467
2     0.055693
3     0.054383
4     0.052663
        ...   
95    0.053421
96    0.050643
97    0.050939
98    0.049005
99    0.047267
Length: 100, dtype: float64",[0.01928732 0.01874613 0.01819213 ... 0.03322792 0.0331237  0.0330199 ],[0.01618194 0.0154104  0.01462678 ... 0.07875942 0.0785546  0.07835104]
18,16,2,2,1,30.161198460001977,5.29128360748291,1,180,"0     0.004330
1     0.004047
2     0.004698
3     0.004141
4     0.004290
        ...   
95    0.004431
96    0.005325
97    0.002966
98    0.003123
99    0.004226
Length: 100, dtype: float64","0     0.092834
1     0.094689
2     0.093048
3     0.096966
4     0.095759
        ...   
95    0.096829
96    0.095815
97    0.094187
98    0.093990
99    0.095699
Length: 100, dtype: float64",[0.00834429 0.00864529 0.00920187 ... 0.04359533 0.04344141 0.04329703],[0.00958685 0.01002634 0.0104706  ... 0.10414646 0.10392795 0.10371025]
19,16,2,2,1,29.64384731364107,5.0158936977386475,1,190,"0     0.003179
1     0.004842
2     0.004327
3     0.004822
4     0.003565
        ...   
95    0.004399
96    0.004453
97    0.003480
98    0.003965
99    0.003886
Length: 100, dtype: float64","0     0.038699
1     0.038571
2     0.037766
3     0.037504
4     0.037191
        ...   
95    0.040401
96    0.039646
97    0.039014
98    0.038490
99    0.037956
Length: 100, dtype: float64",[0.02499987 0.02401316 0.02275997 ... 0.05755568 0.05737687 0.05719806],[0.01968908 0.01954552 0.01938502 ... 0.12346748 0.12326465 0.12306216]
